fold,epoch,train_loss,val_loss,overall_macro_precision,overall_macro_recall,overall_macro_f1,es_macro_precision,es_macro_recall,es_macro_f1,en_macro_precision,en_macro_recall,en_macro_f1,it_macro_precision,it_macro_recall,it_macro_f1
0,0,0.13212495680113884,0.11602769140154123,0.42857142857142855,0.5,0.46153846153846156,0.4279749478079332,0.5,0.4611923509561305,0.42887029288702927,0.5,0.4617117117117117,0.42887029288702927,0.5,0.4617117117117117
0,1,0.13066772631313678,0.12080947328358889,0.42857142857142855,0.5,0.46153846153846156,0.4279749478079332,0.5,0.4611923509561305,0.42887029288702927,0.5,0.4617117117117117,0.42887029288702927,0.5,0.4617117117117117
0,2,0.13196371100983237,0.11460994337168005,0.42857142857142855,0.5,0.46153846153846156,0.4279749478079332,0.5,0.4611923509561305,0.42887029288702927,0.5,0.4617117117117117,0.42887029288702927,0.5,0.4617117117117117
0,3,0.1227073684397103,0.10542352139535878,0.9288702928870293,0.5024390243902439,0.46656608064375055,0.4279749478079332,0.5,0.4611923509561305,0.42887029288702927,0.5,0.4617117117117117,0.929769392033543,0.5073529411764706,0.4767249971406631
0,4,0.11655475280274906,0.09787924542712668,0.6793212036389084,0.5060975609756098,0.47566968304016227,0.4276729559748428,0.4975609756097561,0.4599774520856821,0.42887029288702927,0.5,0.4617117117117117,0.8064345991561181,0.5208393113342898,0.5043363499245852
0,5,0.11000681439456186,0.09265981065109372,0.810495367070563,0.5552845528455285,0.5653752037191057,0.7328358208955223,0.5386002120890774,0.5378378767586872,0.929769392033543,0.5073529411764706,0.4767249971406631,0.8489632176721893,0.6201219512195122,0.6592926661742027
0,6,0.10520722509057857,0.09489383364691295,0.7933253397282174,0.5727642276422764,0.5925038167938932,0.7353448275862069,0.5579003181336161,0.569385420071919,0.6811440677966102,0.5184002869440459,0.5019917877060734,0.8638032305433186,0.642180774748924,0.6872987117552335
0,7,0.10413156792286372,0.08796006675240481,0.7810327664169534,0.6321138211382114,0.6674109773912307,0.743207126948775,0.6158006362672322,0.6451476346703355,0.7450071667462972,0.5919655667144906,0.6174299688750555,0.8394388906804258,0.6887733142037302,0.7334137652374828
0,8,0.09551510763759861,0.09069293969854092,0.806654467294063,0.625609756097561,0.6627052036469652,0.7970238095238096,0.6146518204312478,0.6486916526819566,0.7493487548192144,0.585832137733142,0.6097352357995413,0.8551273724471387,0.676506456241033,0.7239371545089165
0,9,0.09471427069261223,0.09001775267404608,0.7974432040992392,0.6804878048780487,0.7176401716389911,0.74727579819113,0.6604277129727819,0.6892157801248711,0.8141981613891727,0.6654949784791966,0.706629610329454,0.835714684377965,0.7157460545193687,0.7566586874343338
