fold,epoch,train_loss,val_loss,overall_macro_precision,overall_macro_recall,overall_macro_f1,en_macro_precision,en_macro_recall,en_macro_f1,it_macro_precision,it_macro_recall,it_macro_f1,es_macro_precision,es_macro_recall,es_macro_f1
0,0,0.3267235863872253,0.11506798701981703,0.42887029288702927,0.5,0.4617117117117117,0.4575757575757576,0.5,0.4778481012658228,0.4046242774566474,0.5,0.4472843450479233,0.425,0.5,0.4594594594594595
0,1,0.30863128223177727,0.1100468893845876,0.42887029288702927,0.5,0.4617117117117117,0.4575757575757576,0.5,0.4778481012658228,0.4046242774566474,0.5,0.4472843450479233,0.425,0.5,0.4594594594594595
0,2,0.25191347140574105,0.12523515696326892,0.5304635761589404,0.5123744619799139,0.5056753759702961,0.4575757575757576,0.5,0.4778481012658228,0.45198222829801776,0.46958874458874456,0.45682888540031397,0.6828358208955223,0.5588235294117647,0.5696091348265262
0,3,0.23671850812261122,0.13347511881341537,0.5975020678246484,0.6057030129124821,0.6011835642831953,0.9603658536585367,0.5357142857142857,0.5460317460317461,0.5423553719008265,0.5576839826839827,0.5399143565472166,0.653697996918336,0.6596638655462185,0.6565597095476401
0,4,0.21074913716773047,0.1368804833541314,0.6024195103142471,0.6524390243902439,0.6131697759604736,0.9603658536585367,0.5357142857142857,0.5460317460317461,0.5807298680312416,0.6297619047619047,0.5511294261294262,0.6145948945615982,0.6652661064425771,0.6266666666666667
0,5,0.1960989370615813,0.15252839966366688,0.6024964838255977,0.6881994261119082,0.5992334411306743,0.6265432098765432,0.5290917691579944,0.5348618680699117,0.5899122807017544,0.6286796536796537,0.4636664054781453,0.6434907695996164,0.7394957983193278,0.6556712962962963
0,6,0.19165574767402488,0.15027454849332572,0.6344802152030545,0.7223457675753229,0.648501720198545,0.5846273291925466,0.5257805108798487,0.5299145299145299,0.6696919691969196,0.7670995670995671,0.6650069156293222,0.6074432296047099,0.7044817927170868,0.5856162226840481
0,7,0.1804737198798761,0.14038256181714434,0.6674558080808081,0.7663916786226685,0.6895851936033769,0.5726495726495726,0.5482497634815515,0.5560118963319642,0.7367256637168141,0.8474025974025974,0.7573632538569425,0.6250264214753751,0.7366946778711485,0.609037826859609
0,8,0.18563208463907677,0.10208656899631023,0.7011887164326189,0.7343256814921091,0.7153349875930521,0.4573170731707317,0.4966887417218543,0.47619047619047616,0.7488179669030732,0.8189393939393939,0.7723684210526316,0.6534406215316315,0.7212885154061625,0.6719191919191919
0,9,0.17703662054395697,0.12710162854442994,0.6948351621376144,0.7846843615494978,0.7216194646362244,0.6209514170040487,0.6130558183538316,0.6167950128346168,0.7371445856019359,0.8393939393939394,0.7597222222222222,0.669869425966987,0.7759103641456582,0.689257176679491
1,0,0.34096689917908535,0.11581037888924281,0.42782426778242677,0.5,0.46110484780157834,0.4573170731707317,0.5,0.47770700636942676,0.4046242774566474,0.5,0.4472843450479233,0.4219858156028369,0.5,0.4576923076923077
1,1,0.27983508756669767,0.11193604267512759,0.6785714285714286,0.5060238829240636,0.4751014561947959,0.4573170731707317,0.5,0.47770700636942676,0.6564327485380117,0.5115800865800866,0.47551676619200733,0.4219858156028369,0.5,0.4576923076923077
1,2,0.2553854051188831,0.13428124139706293,0.5689479060265576,0.5358775380036143,0.5390549662487946,0.45652173913043476,0.49,0.47266881028938906,0.5209211318482841,0.5150432900432901,0.5135895032802249,0.6823308270676691,0.5741023682200153,0.5896825396825397
1,3,0.22447633977136472,0.14748777238031227,0.5654069385718412,0.5882498848375324,0.5707229456668164,0.45625,0.4866666666666667,0.47096774193548385,0.5201078582434515,0.5282467532467532,0.5123326286116984,0.6093073593073592,0.6736058059587471,0.6159690366972477
1,4,0.20679450763838134,0.16579898446798325,0.6034266923263766,0.6961482583891428,0.5916484417714598,0.45625,0.4866666666666667,0.47096774193548385,0.606941706561532,0.6643939393939394,0.5129809196121364,0.6310386473429952,0.7486631016042781,0.5862723663770784
